,ra,dec
0,148.56382002,37.25542226
1,146.2329453,37.21801118
2,146.19563864,38.08378795
3,152.35202437,60.76597036
4,148.55260373,60.68039323
5,150.58290061,60.73901765
6,153.9797887,44.405328
7,125.00930822,67.92295834
8,160.70459393,57.14276701
9,162.29845315,57.16594635
10,159.09020443,55.18174221
11,159.37858966,53.56359843
12,157.75389905,51.64981927
13,160.94094637,55.46200612
14,157.71857611,53.56632384
15,156.26328441,53.54569196
16,160.8340042,53.54534877
17,159.41550487,55.48116709
18,154.76579196,51.58992787
19,157.67829724,55.48139553
20,158.4272333,38.1197233
21,157.17989826,37.25280259
22,158.42058254,37.25324258
23,188.53586196,60.68450328
24,190.56671361,60.74062341
25,188.80185134,58.77483926
26,192.33609088,60.76540363
27,189.20774966,51.63369939
28,189.11564418,53.54707287
29,190.57110699,53.56619449
30,187.61236929,51.5928351
31,189.01144546,55.46141212
32,190.60082476,51.64963828
33,187.44333259,53.50436486
34,187.26411417,55.41590244
35,187.53781207,52.45797081
36,174.40253896,38.1197752
37,174.40848451,37.25328387
38,179.59643357,51.65036335
39,208.85377959,39.16531588
40,207.73853307,39.154038
41,171.75691866,53.54414914
42,168.64159002,53.56605639
43,167.4081999,46.36448137
44,166.00233346,44.45101448
45,184.94416296,16.50675689
46,186.88240697,16.51988427
47,191.37318011,65.94762435
48,176.61314051,51.59195607
49,179.60144782,51.65000767
50,204.70137719,53.54164019
51,198.62619536,51.59418833
52,201.614624,51.65015468
53,198.55224219,52.45934646
54,198.62620196,51.59420129
55,260.07853236,44.40917794
56,251.94624124,37.25185674
57,233.36051947,44.45248047
58,233.35426588,45.3190266
59,282.11268719,58.77891948
60,285.69540365,58.84805117
61,285.65816361,60.76468799
62,283.88850587,60.7423383
63,276.20034029,51.59723366
64,279.1892976,51.64975012
65,276.12908697,52.4625157
66,273.83548262,44.44922375
67,273.84963155,45.31575142
68,269.85297941,44.41187734
69,276.42947425,44.40213599
70,272.45195779,44.45229946
71,275.11969935,46.34556503
72,273.8668819,46.36268451
73,271.21679288,45.30826469
74,275.04637816,44.43273651
75,271.24078826,44.44188437
76,269.80489438,45.27758471
77,272.44644976,45.31886606
78,260.56098573,38.12041408
79,258.19945831,38.0887545
80,268.09500223,51.65077737
81,265.03474879,52.46346746
82,260.03331943,45.27803193
83,262.67482165,45.31949138
84,262.68044177,44.45292881
85,260.56154499,38.12031999
86,257.00240397,51.65124895
87,250.58074852,30.92100068
88,71.56562479,46.36051688
89,70.31285916,46.34286211
90,68.87279469,46.30676535
91,69.93928779,37.23293147
92,71.00589996,39.16090142
93,69.89076337,39.14664889
94,68.60839185,39.11824578
95,79.63707311,37.24658859
96,77.30635986999998,37.20729967
97,80.90140850999998,41.0792753
98,82.04861886,41.06945935
99,78.50231956,39.14876215
100,80.88897724,39.16170982
101,78.44833267,41.06347977
102,79.5953934,41.07811533
103,78.55104697,37.23506205
104,77.13313805,41.0334042
105,79.61739878,39.1630703
106,77.22000208,39.12031095
107,76.10678812,39.08197631
108,76.83075922,31.95178715
109,77.83406737999998,33.87841047
110,76.86522972999998,30.03792043
111,75.5979259,33.84315634
112,80.06158320999998,33.87230267
113,79.01202535,31.96184813
114,75.72027364,30.01609303
115,77.86404582999998,30.04683284
116,79.00500277,30.04843893
117,80.03131976999998,31.9548942
118,75.65845165999998,31.92957261
119,80.04451707,32.82128824
120,75.69272320999998,30.88205357
121,79.01989,33.87944633
122,79.01537539,32.82833389
123,74.64031855,31.89931787
124,76.79251581,33.8666852
125,76.85039734,30.90426818
126,77.84993022,31.96332539
127,79.00830261999998,30.9149436
128,83.47636172999998,31.93124715
129,83.51067559,30.88375747
130,87.84916357999998,31.95663809
131,85.66782413,31.96503619
132,85.65188510999998,33.88011053
133,87.87935826,33.87403418
134,86.8376746,33.88116135
135,84.61033207,33.86836274
136,84.64865394999998,31.95347724
137,86.83320867,32.83004864
138,83.41574447,33.84480591
139,86.82623658,30.91669728
140,84.6832102,30.03964644
141,85.68201539,30.04856697
142,83.53825695,30.01779311
143,84.66834905,30.90599125
144,86.82991174999998,31.9635811
145,85.64286778999998,34.74655801
146,86.82296291999998,30.05020184
147,87.86233667,32.82302402
148,84.30039519999998,23.71546584
149,84.30235527,24.76237556
150,81.16890067999998,24.73774364
151,81.21294661,22.82394922
152,85.25467976999998,24.75765065
153,81.19330424,23.69006815
154,82.27831811,23.70711313
155,85.26335242,25.62407318
156,81.12710627,26.65162824
157,84.30679756,26.67996364
158,83.20504427,26.67898729
159,83.21663209,24.76389173
160,82.26437919,24.75467138
161,80.21721053,24.71436277
162,82.28862397,22.84071005
163,82.23726062999998,26.66966972
164,83.19821924,27.54545774
165,85.27469021999998,26.67513586
166,84.30420207,25.62884892
167,83.22683277,22.84737639
168,92.75769045,24.7589
169,90.71966629,24.76516363
170,90.70807052,26.68025518
171,92.77766001,26.67637765
172,90.72988334,22.84865433
173,89.76741386,24.75595261
174,90.70122399,27.5467131
175,88.63013112999998,26.65289879
176,88.69634356,23.69135273
177,91.80980361,26.68121994
178,89.74026775999998,26.67093879
179,92.76633881,25.62531614
180,91.80721757,25.63011638
181,91.80539015,24.76363429
182,88.67193333999998,24.73903246
183,88.71603629,22.82525526
184,91.80342808,23.71673357
185,89.79167081999998,22.8419903
186,88.90499934999998,18.43000217
187,89.82347606,19.478338
188,87.85668862,20.34667927
189,87.86191075,19.48019327
190,85.93648118999998,16.49784221
191,89.81655078999998,18.42723634
192,88.90433797,17.5635163
193,86.97952841,15.64382026
194,90.85428369,17.55544841
195,89.80093900999998,15.64740368
196,89.81139213999998,17.56078344
197,86.94459985,19.47298445
198,86.95347553,18.42429981
199,85.01303031,17.52836664
200,86.96324939999998,17.55788434
201,85.89226766,19.45975108
202,88.90613935999998,19.48113222
203,85.90376904999998,18.41186336
204,87.87744198,15.64849552
205,86.97274416,16.51026763
206,87.87467574999998,16.51500144
207,89.80569654999998,16.5138964
208,85.94998655,15.63162683
209,85.91971979999998,17.54564626
210,87.87026306999998,17.56506494
211,88.90375919999998,16.51657971
212,88.9030176,15.6500324
213,97.02869504,19.47934624
214,93.14177534,16.49900169
215,95.06195524,20.34773587
216,96.11023194,18.43104484
217,94.16852222,17.5589937
218,94.14989526,19.47407786
219,93.15530104,15.63279835
220,95.08267101000001,15.64960911
221,93.09758471,19.4608719
222,96.10826414,15.65112187
223,94.18480717000001,15.64496752
224,96.11135599,19.48215938
225,95.07550671000001,17.56614828
226,93.12502823,17.54680029
227,94.178025,16.51140361
228,96.10957075,17.56457028
229,95.067176,19.48126094
230,97.02175694,18.42824796
231,97.01660665,17.56180606
232,96.10899227,16.51764831
233,92.08403687,9.31636126
234,93.96230742,10.36398211
235,93.08285594,11.23135842
236,90.20086627,9.30532914
237,90.20924734,8.4390196
238,92.07696021,11.23291634
239,91.20772852,9.3134833
240,93.96782114,12.28159705
241,91.2115723,8.447003419999998
242,93.08320899,10.36486656
243,93.0840903,8.45136573
244,92.08098071,10.36643277
245,92.08568858,8.44982738
246,94.97309385,10.36292494
247,93.08272826,12.28250884
248,93.96451812,11.23044259
249,89.31153743999998,10.34157581
250,90.19044735000001,10.35323473
251,91.18322983,13.14277541
252,90.17987708,11.21950755
253,92.07127671,13.14810806
254,92.07523291,12.28160748
255,93.08228337000001,13.14905173
256,91.19016198000001,12.27631181
257,91.19524559000001,11.22758068
258,93.95820394,8.45055608
259,93.08383856,9.31792252
260,93.9601118,9.31707357
261,91.20188939,10.36114834
262,90.17475395,12.26745781
263,100.13848923,9.31883853
264,99.12603643000001,13.14907129
265,98.25659763,10.36214001
266,99.1386683,9.31730455
267,101.0169805,10.36484416
